YEAR,HOST,CHAMPION,RUNNER UP,THIRD PLACE,TEAMS,MATCHES PLAYED,GOALS SCORED,AVG GOALS PER GAME,host_success_level
1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6,3
1934,Italy,Italy,Czechoslovakia,Germany,16,17,70,4.1,3
1938,France,Italy,Hungary,Brazil,15,18,84,4.7,0
1950,Brazil,Uruguay,Brazil,Sweden,13,22,88,4.0,2
1954,Switzerland,West Germany,Hungary,Austria,16,26,140,5.4,0
1958,Sweden,Brazil,Sweden,France,16,35,126,3.6,2
1962,Chile,Brazil,Czechoslovakia,Chile,16,32,89,2.8,1
1966,England,England,West Germany,Portugal,16,32,89,2.8,3
1970,Mexico,Brazil,Italy,West Germany,16,32,95,3.0,0
1974,West Germany,West Germany,Netherlands,Poland,16,38,97,2.6,3
1978,Argentina,Argentina,Netherlands,Brazil,16,38,102,2.7,3
1982,Spain,Italy,West Germany,Poland,24,52,146,2.8,0
1986,Mexico,Argentina,West Germany,France,24,52,132,2.5,0
1990,Italy,West Germany,Argentina,Italy,24,52,115,2.2,1
1994,United States,Brazil,Italy,Sweden,24,52,141,2.7,0
1998,France,France,Brazil,Croatia,32,64,171,2.7,3
2002,"South Korea, Japan",Brazil,Germany,Turkey,32,64,161,2.5,0
2006,Germany,Italy,France,Germany,32,64,147,2.3,1
2010,South Africa,Spain,Netherlands,Germany,32,64,145,2.3,0
2014,Brazil,Germany,Argentina,Netherlands,32,64,171,2.7,0
2018,Russia,France,Croatia,Belgium,32,64,169,2.6,0
2022,Qatar,Argentina,France,Croatia,32,64,172,2.7,0
